complaint_text,category,days_pending,location_type,priority
Pipeline burst near market and also Drain blockage for {} days citizens suffering,Water Issue,2,Hospital Area,Low
Overflowing dustbins near road and also Waste dumping issue causing problems,Garbage,5,Residential,Medium
Pothole causing accidents and also Water logging problem,Road Damage,8,School Area,Critical
Overflowing dustbins near road,Garbage,10,Residential,High
Drain blockage for 4 days and also Road cracked badly after rain very urgent,Drainage,4,School Area,Medium
Big pothole near school and also Waste dumping issue,Road Damage,5,Residential,Medium
Electric pole sparking,Electricity,4,Market,High
Pothole causing accidents,Road Damage,1,Hospital Area,Critical
Streetlight not working,Electricity,7,Hospital Area,High
Drain water mixed on road and also Water leakage for {} days kindly look into this,Drainage,2,Market,Low
Pothole causing accidents,Road Damage,10,Residential,Critical
Pipeline burst near market kindly look into this,Water Issue,5,Residential,Medium
Drain water mixed on road please resolve soon,Drainage,10,Market,High
Electric pole sparking not fixed yet,Electricity,1,Residential,High
Road cracked badly after rain immediate action needed,Road Damage,10,Market,High
Frequent power cuts citizens suffering,Electricity,8,Market,High
Garbage not collected for 10 days and also Electric pole sparking,Garbage,10,Market,High
Streetlight not working,Electricity,2,School Area,Low
Sewage overflow and also Waste dumping issue kindly look into this,Drainage,4,Highway,Critical
No proper water supply immediate action needed,Water Issue,7,School Area,High
No proper water supply very urgent,Water Issue,5,Hospital Area,Medium
Uneven road surface very urgent,Road Damage,10,Highway,Critical
Waste dumping issue since many days,Garbage,9,Highway,Critical
Dirty water coming from taps and also Overflowing dustbins near road dangerous situation,Water Issue,6,Residential,High
Road cracked badly after rain kindly look into this,Road Damage,6,School Area,Medium
No proper water supply and also Low water pressure in area very urgent,Water Issue,10,School Area,High
Loose electric wires hanging citizens suffering,Electricity,8,Market,High
Waste dumping issue and also Water logging problem please resolve soon,Garbage,8,School Area,High
Pipeline burst near market and also Electric pole sparking citizens suffering,Water Issue,5,Market,High
Uneven road surface and also Road sinking problem,Road Damage,4,Hospital Area,Medium
Big pothole near school and also Big pothole near school,Road Damage,3,Residential,Low
Water logging problem citizens suffering,Drainage,9,Residential,High
Drain blockage for 9 days dangerous situation,Drainage,9,School Area,High
Loose electric wires hanging,Electricity,3,School Area,Low
Road sinking problem causing problems,Road Damage,8,Hospital Area,High
Garbage scattered everywhere and also Big pothole near school,Garbage,6,Highway,Critical
Uneven road surface kindly look into this,Road Damage,1,Market,Low
Electric pole sparking dangerous situation,Electricity,2,Hospital Area,High
Pothole causing accidents and also Road sinking problem immediate action needed,Road Damage,1,School Area,Critical
Garbage not collected for 8 days not fixed yet,Garbage,8,Residential,High
Road sinking problem not fixed yet,Road Damage,6,Highway,Critical
Garbage not collected for 8 days and also Frequent power cuts very urgent,Garbage,8,Highway,Critical
Electric pole sparking and also Uneven raod surface immediate action needed,Electricity,8,Highway,Critical
Dirty water coming from taps,Water Issue,8,Residential,High
Dirty water coming from taps and also Pipeline burst near market not fixed yet,Water Issue,10,Highway,Critical
Power outage for 3 hours citizens suffering,Electricity,3,Highway,Critical
Streetlight not working and also Power outage for {} hours dangerous situation,Electricity,1,Residential,High
Overflowing dustbins near road dangerous situation,Garbage,3,School Area,High
Water leakage for 10 days citizens suffering,Water Issue,10,Residential,High
Garbage scattered everywhere not fixed yet,Garbage,3,Highway,Critical
Low water pressure in area not fixed yet,Water Issue,1,Highway,Critical
Drain watr mixed on road,Drainage,2,Hospital Area,Low
Road cracked badly after rain,Road Damage,6,Market,Medium
Low water pressure in area not fixed yet,Water Issue,10,Highway,Critical
Garbage not collected for 8 days causing problems,Garbage,8,Market,High
Pothole causing accidents and also Water logging problem,Road Damage,4,School Area,Critical
Pipeline burst near market and also No proper water supply,Water Issue,2,School Area,Low
Low water pressure in area,Water Issue,8,Market,High
Big pothole near school,Road Damage,10,School Area,High
Water logging problem and also No proper water supply causing problems,Drainage,7,Hospital Area,High
No proper water supply,Water Issue,8,Market,High
Waste dumping issue kindly look into this,Garbage,7,Hospital Area,High
Dirty water coming from taps,Water Issue,5,Residential,Medium
No proper water supply since many days,Water Issue,5,Residential,Medium
Low water pressure in area kindly look into this,Water Issue,1,Highway,Critical
Power outage for 3 hours citizens suffering,Electricity,3,Highway,Critical
Drain watr mixed on road since many days,Drainage,2,Market,Low
Bad smell due to garbage very urgent,Garbage,7,Hospital Area,High
Waste dumping issue since many days,Garbage,5,Residential,Medium
Dirty water coming from taps,Water Issue,2,School Area,Low
Garbage scattered everywhere,Garbage,4,Hospital Area,Medium
Garbage not collected for 5 days and also Drain blockage for {} days very urgent,Garbage,5,Market,Medium
Frequent power cuts and also Dirty water coming from taps very urgent,Electricity,4,Market,Medium
Water logging problem and also Drain cleaning required urgently dangerous situation,Drainage,10,School Area,High
Water logging problem immediate action needed,Drainage,10,Residential,High
Dirty water coming from taps,Water Issue,9,Highway,Critical
No proper watr supply,Water Issue,1,Hospital Area,Low
Bad smell due to garbage not fixed yet,Garbage,2,Residential,Low
Uneven road surface please resolve soon,Road Damage,4,School Area,Medium
Power outage for 5 hours,Electricity,5,Market,Medium
Garbage scattered everywhere since many days,Garbage,2,Highway,Critical
Water leakage for 6 days immediate action needed,Water Issue,6,Hospital Area,Medium
Garbage scattered everywhere,Garbage,4,Residential,Medium
Bad smell due to garbage citizens suffering,Garbage,8,Residential,High
Drain blockage for 9 days,Drainage,9,Highway,Critical
Low water pressure in area please resolve soon,Water Issue,2,Hospital Area,Low
Frequent power cuts and also Loose eletric wires hanging,Electricity,1,Residential,Low
Drain blockage for 7 days kindly look into this,Drainage,7,Hospital Area,High
Electric pole sparking and also Sewage overflow immediate action needed,Electricity,10,Market,High
Road sinking problem,Road Damage,2,Hospital Area,Low
Frequent power cuts,Electricity,3,Highway,Critical
Frequent power cuts,Electricity,3,Residential,Low
Pothole causing accidents,Road Damage,1,Residential,Critical
Water logging problem,Drainage,4,Market,Medium
Electric pole sparking very urgent,Electricity,5,Residential,High
Uneven road surface,Road Damage,6,Highway,Critical
Uneven road surface causing problems,Road Damage,8,Hospital Area,High
Water logging problem,Drainage,3,Market,Low
Drain watr mixed on road,Drainage,4,Hospital Area,Medium
Loose electric wires hanging not fixed yet,Electricity,2,Highway,Critical
Road sinking problem citizens suffering,Road Damage,3,Hospital Area,Low
Dirty water coming from taps dangerous situation,Water Issue,5,Highway,Critical
Pipeline burst near market causing problems,Water Issue,4,Residential,Medium
Pipeline burst near market dangerous situation,Water Issue,2,Highway,Critical
Loose eletric wires hanging since many days,Electricity,9,Residential,High
Loose electric wires hanging kindly look into this,Electricity,8,Highway,Critical
Bad smell due to garbage,Garbage,9,Highway,Critical
Electric pole sparking,Electricity,7,Market,High
Garbage not collected for 9 days kindly look into this,Garbage,9,Market,High
Waste dumping issue please resolve soon,Garbage,1,Highway,Critical
Waste dumping issue dangerous situation,Garbage,2,Highway,Critical
Sewage overflow,Drainage,6,Market,Medium
Waste dumping issue,Garbage,6,Highway,Critical
Bad smell due to garbge,Garbage,8,Highway,Critical
Waste dumping issue,Garbage,8,Hospital Area,High
Road sinking problem very urgent,Road Damage,10,Highway,Critical
Electric pole sparking please resolve soon,Electricity,9,Residential,High
Water leakage for 4 days citizens suffering,Water Issue,4,Market,Medium
Drain water mixed on road since many days,Drainage,2,Market,Low
Sewage overflow please resolve soon,Drainage,7,Residential,High
Uneven road surface very urgent,Road Damage,8,Hospital Area,High
Garbage not collected for 1 days causing problems,Garbage,1,Residential,Low
Road sinking problem immediate action needed,Road Damage,4,Highway,Critical
Loose electric wires hanging citizens suffering,Electricity,5,School Area,Medium
Big pothole near school and also Streetlight not working,Road Damage,7,School Area,High
Garbage not collected for 10 days citizens suffering,Garbage,10,School Area,High
Dirty watr coming from taps and also Drain cleaning required urgently causing problems,Water Issue,2,School Area,Low
Pothole causing accidents and also Dirty water coming from taps causing problems,Road Damage,2,Residential,Critical
Pipeline burst near market,Water Issue,1,Market,Low
No proper water supply citizens suffering,Water Issue,4,Market,Medium
Drain water mixed on road,Drainage,4,Highway,Critical
Frequent power cuts since many days,Electricity,3,Hospital Area,Low
Bad smell due to garbage not fixed yet,Garbage,6,School Area,Medium
Overflowing dustbins near road immediate action needed,Garbage,2,School Area,Low
Low water pressure in area please resolve soon,Water Issue,7,Highway,Critical
Garbage scattered everywhere,Garbage,6,Hospital Area,Medium
Frequent power cuts dangerous situation,Electricity,5,Residential,High
Big pothole near school since many days,Road Damage,1,Market,Low
Water logging problem,Drainage,7,Market,High
Drain water mixed on road and also No proper water supply dangerous situation,Drainage,9,School Area,High
Water leakage for 3 days and also Drain cleaning required urgently,Water Issue,3,School Area,Low
Water logging problem dangerous situation,Drainage,9,Market,High
Water leakage for 10 days kindly look into this,Water Issue,10,Hospital Area,High
Overflowing dustbins near road please resolve soon,Garbage,8,Market,High
Water logging problem,Drainage,2,Highway,Critical
No proper watr supply not fixed yet,Water Issue,1,Hospital Area,Low
Drain blockage for 6 days,Drainage,6,Hospital Area,Medium
Sewage overflow please resolve soon,Drainage,2,School Area,Low
Sewage overflow and also No proper water supply not fixed yet,Drainage,1,Highway,Critical
Electric pole sparking not fixed yet,Electricity,10,Market,High
Drain water mixed on road very urgent,Drainage,8,School Area,High
Water logging problem please resolve soon,Drainage,8,Residential,High
Power outage for 9 hours,Electricity,9,Market,High
Pipeline burst near market citizens suffering,Water Issue,5,School Area,Medium
Uneven road surface immediate action needed,Road Damage,7,Market,High
